"","Sample_ID","Survey","dmax","tmax","tmax_h","auc","hauc","width","hwidth","ox_initial","incub_date"
"1","12147","100_lakes",2.20450769469106,15.34425,21.61,11.8499842585676,5.78211196047979,6.82208333333333,3.29691666666666,268.086162046908,"191009"
"2","12150","100_lakes",3.59537802697319,10.9567499999999,18.5413333333333,25.5037406499093,11.3718453927083,8.26750000000001,3.80416666666667,239.867991757818,"191009"
"3","12151","100_lakes",2.5331530339653,15.09075,21.4071666666667,13.2348518967403,5.97850415409061,6.23875,2.73883333333334,268.086162046908,"191009"
"4","12180","100_lakes",4.33777637848442,9.18149999999998,17.324125,28.075949109061,12.4779027448592,7.71008333333334,3.85475,239.8679917477,"191009"
"5","12249","100_lakes",3.61531823642826,6.43983333333335,12.6774166666667,16.0779485120846,7.53909517236214,5.40025,2.48458333333333,189.234761046101,"191005"
"6","12251","100_lakes",4.53819301419386,6.05958333333335,12.905625,17.7515305894565,8.7277365855078,5.17225,2.53541666666667,189.234760477714,"191005"
"7","12259","100_lakes",0.839672423999417,6.97225,15.555,7.423014387352,2.27436018747884,11.6625833333333,3.19441666666666,189.234759313828,"191005"
"8","12260","100_lakes",1.25811032830914,17.8740833333333,23.8836666666667,11.8331499855397,3.47942339002085,11.7640833333333,3.57475,157.874148930907,"191005"
"9","12262","100_lakes",2.16239513746987,12.7529166666666,20.1820416666666,12.1347272760032,6.71823843384428,6.49066666666667,3.9805,189.234759901163,"191005"
"10","12267","100_lakes",2.03778673860273,17.5759166666667,23.63875,13.3894204603278,6.01590223876765,8.14116666666667,3.60158333333333,268.086162046908,"191009"
"11","12282","100_lakes",0.996721073027019,8.3920833333333,14.7690833333333,5.01508878521416,2.25037298433401,6.36374999999999,2.81416666666667,189.234761606626,"191005"
"12","12700","100_lakes",1.2202277838723,18.255,25.8873333333333,13.0279097264019,8.21441143547669,16.1253333333334,7.226,213.56213963964,"191107"
"13","12702","100_lakes",3.37792527533274,10.4716666666666,19.0293333333333,16.332930379943,6.60922848907667,6.79516666666667,2.40883333333334,267.66220703066,"191108"
"14","12710","100_lakes",1.22149058088324,6.99816666666667,14.3386666666667,8.24871222303399,3.54871656087065,6.16133333333333,3.57508333333333,259.099790619145,"191108"
"15","12716","100_lakes",0.837930903668763,19.929,24.8862916666667,1.48552908660204,1.48552908660204,2.02833333333333,2.02833333333333,311.77420068918,"191108"
"16","12717","100_lakes",1.11868812339159,13.8945833333334,21.8943333333333,4.6718728507341,2.71686668352658,5.57816666666667,3.04258333333333,259.099804891314,"191108"
"17","12719","100_lakes",1.73402671513894,1.8765,9.977625,9.28779479478851,9.28779479478851,7.86008333333333,7.86008333333333,259.09977628735,"191108"
"18","12725","100_lakes",1.33835432177868,5.29925000000003,17.393875,15.4792976201513,2.66245281229981,15.3145,2.45925,267.66220703303,"191108"
"19","12727","100_lakes",1.99218421486913,1.87633333333332,10.002875,5.04057994406191,5.04057994406191,3.37216666666666,3.37216666666666,259.099747303325,"191108"
"20","12729","100_lakes",1.16497437955438,6.74458333333337,17.7615,10.7156022967813,3.48504387572773,12.52525,3.60025,259.099761841318,"191108"
"21","12742","100_lakes",6.00283776445731,2.12975,5.38833333333333,14.685536693729,12.9488071036743,2.96658333333334,2.61158333333333,250.841770781247,"191025"
"22","12743","100_lakes",2.74976170523544,5.27391666666666,7.442125,15.8778499271047,7.625930246536,6.97266666666667,3.296,238.869676654014,"191025"
"23","12757","100_lakes",5.53554102728328,5.60341666666667,11.3847083333333,32.5520529716801,15.1267507790272,6.33866666666666,3.11858333333333,250.841769821655,"191025"
"24","12758","100_lakes",2.71344798826071,7.85991666666669,13.7807083333333,11.8180424896748,8.19956407403495,5.40041666666666,3.70166666666667,250.841772584369,"191025"
"25","12763","100_lakes",7.13685320958446,7.68258333333334,10.002875,41.0808137568056,19.0628858176595,7.22608333333333,3.11858333333334,238.869630620978,"191025"
"26","12765","100_lakes",4.81826033653306,6.54158333333333,9.21687499999999,28.0785383765957,11.8928379942275,6.92166666666667,2.99166666666667,238.869653799918,"191025"
"27","12777","100_lakes",25.1333443777001,23.9853333333334,25.9253333333333,160.74977899831,141.938845680273,8.62041666666667,7.25133333333333,238.869699188692,"191025"
"28","12832","100_lakes",16.6648556053708,7.98666666666666,12.7918333333333,86.6426345912793,40.2478774129507,6.36408333333334,2.9665,250.841771698965,"191025"
"29","12839","100_lakes",27.5524032749268,17.8749166666667,17.951625,155.83434482532,72.4533329520439,7.04825,3.06783333333333,312.520762877537,"191029"
"30","12841","100_lakes",1.74963730892626,14.3761666666666,14.8711666666667,8.43748283962649,4.02510517408967,6.13583333333334,2.86483333333333,312.520736962867,"191029"
"31","12851","100_lakes",3.17854003414376,6.56691666666666,10.0408333333333,19.865755819208,8.5945369487968,7.30216666666666,3.19466666666666,238.869721521069,"191025"
"32","12917","100_lakes",1.32479091120185,12.576,22.7812083333333,4.55497222961121,2.21558475867029,3.87941666666666,1.87633333333333,260.465850515464,"191105"
"33","12923","100_lakes",2.96359431424113,9.35558333333335,19.6625416666666,9.12963934550095,4.41955229354962,4.564,2.10441666666667,264.221640625,"191105"
"34","12925","100_lakes",1.41186612490738,10.2940833333333,20.7655416666667,6.53531759663175,2.74605069874027,5.3755,2.15533333333333,260.465850515464,"191105"
"35","12929","100_lakes",1.32842924458301,9.8119166666667,20.2710416666667,7.38653159010086,3.09181196322593,7.98691666666666,2.713,264.221640625,"191105"
"36","12931","100_lakes",2.49880567903055,10.5472500000001,21.24725,10.3150676154975,4.64860087516803,5.29908333333333,2.2565,264.221640625,"191105"
