"","Lake_ID","NIVA_station_ID","NVE_number","DNAsampleID","Lake_name","Long","Lat","Altitude","CBA_date","CBA_week","NIVA_date","T","pH_bio","EC_bio","DNA","Cells","TOC","DOC","TN","DN","TOTP","DP","pH","EC","Alkalinity","F","Cl","NO2","B","SO4","NO3","PO4","Na","K","Ca","Mg","Fe","Al","Cr","Ni","Cu","Zn","As","Cd","Pb","V","Mn","Co","Hg_total","a254","a410","a600","a275","a295","s_275_295","a350","a400","s_350_400","SUVA","SARuv","SARvis","Ar","N2","O2","CO2","CH4","N2O","p_N2","p_O2","c_O2","p_CO2","c_CO2","p_CH4","p_N2O","d18O","d2H","Survey","RR","tmax","tmax_h","auc","OD","width","BdgT","ox_initial","incub_date","lag_bdg","H","CN","CP","NP","CNP","SR","sVISa"
"21",12742,"617-1-28",16183,"L39","Orkvatnet",8.979922,60.764222,805,2019-10-21,42,"43761",3.7,6.6,8.5,"2.64",862629,11.85,7.214,0.187,0.161,39.9,2.3,7.32,21.2,0.228,"na",0.7448,0.7449,0.1328,2.8025,"5.6599999999999998E-2","na",0.63,0.24,4.16,0.96,0.05,0.04,0.0526,0.0505,0.072,0.301,0.00952,0.00072,0.0212,0.00498,0.000569,0.00447,7.47,0.242,0.024,0.004,0.197,0.15,0.013628422,0.065,0.029,0.016141829,0.033545883,8.344827586,"7.25","20.18187417","752.30667219999998","409.98563589999998","109.6620441","102.7168095","16.976193299999998","0","0","0.99077873900000002","0","4.8733054349999998","0","5.143445E-3",-11.71803787,-85.8934025,"100_lakes",6.00283776445731,2.12975,5.38833333333333,14.685536693729,12.9488071036743,2.96658333333334,2.61158333333333,250.841770781247,2019-10-25,4,2.51188643150958e-07,52.253600865873,8087.42638088998,154.772613693153,0.000703606095137428,0.844292304174453,0.00401996118658165
"22",12743,"617-1-23",16098,"L22","Metubba",9.088398,60.787332,851,2019-10-21,42,"43740",3.3,6.4,5,"na",658528.2,9.949,4.846,0.125,0.125,16.3,3,7.07,17.04,0.118,"na",1.3211,0.4429,0.0992,2.1954,"5.2699999999999997E-2","na",0.83,0.14,2.42,0.63,0.02,0.03,0.0348,0.0548,0.11,0.73,0.0125,0.00123,0.0317,0.00494,0.000802,0.00356,9.59,0.199,0.017,0.003,0.158,0.119,0.014173577,0.05,0.02,0.018325815,0.041064796,9.95,"6.6666666670000003","20.5995633","763.29196869999998","417.14697580000001","83.620126529999993","772.35753739999996","18.911787799999999","0","0","1.094744382","0","10.47444497","0","0",-12.87406352,-93.76272597,"100_lakes",2.74976170523544,5.27391666666666,7.442125,15.8778499271047,7.625930246536,6.97266666666667,3.296,238.869676654014,2019-10-25,4,3.98107170553497e-07,45.2105050370494,4165.08811367358,92.1265557697342,0.000466723113665806,0.773421373073994,0.00412711514651259
"23",12757,"620-502",392,"L37","Storekrakkja",7.782901,60.437023,1151,2019-10-22,42,"43740",1.5,6.8,9,"na",58603.2,2.804,1.6,0.05,0.049,11.4,4.1,7.08,6.16,0.0741,"4.1942000000000004",0.4748,0.208,0.0542,0.6203,"1.7399999999999999E-2","na",0.38,0.06,0.66,0,0.03,0.13,0.115,0.0298,0.0193,0.214,0.00242,0.000972,0.0186,0.00144,0.000103,0.000911,4.06,0.009,0.002,0.001,0.008,0.005,0.023500181,0.002,0.002,NA,0.005625,4.5,"2","22.188919479999999","797.81122200000004","438.79067049999998","12.368976740000001","8.9809428400000009","20.04732886","0","0","1.069910763","30.00633638","0","0","8.4561200000000003E-4",-12.08773061,-85.93596987,"100_lakes",5.53554102728328,5.60341666666667,11.3847083333333,32.5520529716801,15.1267507790272,6.33866666666666,3.11858333333333,250.841769821655,2019-10-25,3,1.58489319246111e-07,38.0793796163041,1006.23209212693,26.4245925817579,0.00028763863090657,NA,0.00125
"24",12758,"620-4-6",553,"L38","Orteren",7.818089,60.461271,1147,2019-10-22,42,"43741",2.2,6.8,7.4,"2.16",74517,3.091,1.821,0.078,0.075,4,4,7.37,8.73,0.113,"0.18920000000000001",0.6274,0.2987,0.0686,1.3135,"4.3799999999999999E-2","na",0.49,0.16,1.53,0.05,0.07,0.02,0.0634,0.0456,0.0328,0.538,0.00394,0.00103,0.0217,0.0025,0.000137,0.00113,6.69,0.024,0.003,0.002,0.02,0.014,0.017833747,0.005,0.003,0.010216512,0.013179572,8,"1.5","20.996895550000001","779.98813870000004","437.69665989999999","28.00610636","9.5301915069999996","19.819786570000002","0","0","0.87016908699999995","17.929394309999999","0","1.5317908E-2","0",-12.21211813,-88.67083953,"100_lakes",2.71344798826071,7.85991666666669,13.7807083333333,11.8180424896748,8.19956407403495,5.40041666666666,3.70166666666667,250.841772584369,2019-10-25,3,1.58489319246111e-07,28.3148746981933,1173.84834734826,41.4569500963804,0.000219227917350762,1.74558078138605,0.00164744645799012
"25",12763,"620-3-7",389,"L21","Skurdalsfjorden",8.315378,60.461573,782,2019-10-22,42,"43752",5,6.3,15.2,"5.44",536522.4,7.348,3.926,0.14,0.136,7,4.7,7.19,14.26,0.173,"17.043099999999999",0.5153,0.8068,0.156,1.5364,"2.5700000000000001E-2","na",0.61,0.24,3.03,0.19,0.07,0.12,0.0581,0.0259,0.0434,0.235,0.011,0.000429,0.00381,0.00259,5.75e-05,0.00133,0,0.118,0.014,0.004,0.098,0.073,0.014725402,0.033,0.017,0.013265884,0.030056037,6.941176471,"4.25","19.89454606","734.21810619999997","400.39647159999998","103.4855245","29.266819909999999","16.737741320000001","0","0","0.84233667000000001","0","71.622166050000004","0","1.1499489999999999E-3",-12.17312496,-88.60708394,"100_lakes",7.13685320958446,7.68258333333334,10.002875,41.0808137568056,19.0628858176595,7.22608333333333,3.11858333333334,238.869630620978,2019-10-25,3,5.01187233627272e-07,33.6649015363368,2153.84514549606,63.9789527728537,0.000221830212889436,1.11002041024933,0.0043301069791136
"26",12765,"612-5-1",522,"L16","Tyrifjorden",9.995649,59.964537,63,2019-10-22,42,"43766",9.1,6.6,11.1,"4.5599999999999996",543847.8,8.316,4.042,0.27,0.268,3.3,0.9,7.47,22.1,0.238,"0.18990000000000001",1.6283,0.5643,0.0995,3.4344,"1.2238","na",1.2,0.52,4.49,0.63,0.29,0.03,0.0783,0.0703,0.0681,0.314,0.0167,0.000248,0.00368,0.00792,0.00012,0.00277,5.21,0.154,0.018,0.005,0.125,0.094,0.014250948,0.041,0.02,0.014356796,0.038099951,7.7,"4","17.737776149999998","667.96569599999998","361.1558139","84.010033359999994","37.508516450000002","15.382557309999999","0","0","0.31810393599999998","0","89.855117710000002","0","0",-11.84219752,-85.72702546,"100_lakes",4.81826033653306,6.54158333333333,9.21687499999999,28.0785383765957,11.8928379942275,6.92166666666667,2.99166666666667,238.869653799918,2019-10-25,3,2.51188643150958e-07,17.5884462874206,11580.1940813514,658.397785234367,0.00060523797946824,0.992627324369588,0.0049480455220188
"27",12777,"622-4-4",521,"L41","Kroderen",9.619445,60.180935,133,2019-10-21,42,"43761",7.9,6.6,6.9,"5.76",735823.8,116,44.04,0.131,0.114,3.3,0.9,7.1,13.66,0.114,"0.157",1.2701,0.3964,0.0796,1.8371,"0.44","na",0.97,0.37,2.17,-0.19,0.09,0.04,0.444,0.0643,0.0723,0.863,0.00821,0.00146,0.0232,0.00587,0.000179,0.00322,5.09,0.136,0.015,0.004,0.112,0.084,0.014384104,0.038,0.018,0.014944288,0.003088102,7.555555556,"4.5","18.16280102","683.52933380000002","369.69477799999999","25.094020310000001","27.46317492","15.659803459999999","0","0","0.34916572800000001","271.02440300000001","0","0","0",-12.51732749,-90.29814392,"100_lakes",25.1333443777001,23.9853333333334,25.9253333333333,160.74977899831,141.938845680273,8.62041666666667,7.25133333333333,238.869699188692,2019-10-25,4,2.51188643150958e-07,450.514133973682,126173.119085283,280.064729539992,0.0155026919212944,0.962515176367051,0.000408719346049046
"28",12832,"621-3-5",546,"L15","Soneren",9.585546,60.042745,104,2019-10-22,42,"43761",7.8,5.8,6.8,"3.64",722688.6,19.57,8.751,0.21,0.208,5.8,4.3,6.51,23,0.0828,"1.0098",1.2094,1.3316,0.2544,1.0374,"0.37880000000000003","na",0.77,0.27,1.25,0.22,0.01,0.16,0.152,0.0439,0.0752,1.19,0.017,0.00201,0.0217,0.0165,0.0018,0.0137,6.99,0.415,0.047,0.008,0.339,0.263,0.012692304,0.123,0.055,0.016097023,0.047423152,7.545454545,"6.875","19.84249676","691.53008969999996","374.0989864","55.818345450000002","38.889187380000003","20.403813039999999","0","0","0.50884062299999999","26.374077289999999","0","0","0",-11.29827191,-79.65196874,"100_lakes",16.6648556053708,7.98666666666666,12.7918333333333,86.6426345912793,40.2478774129507,6.36408333333334,2.9665,250.841771698965,2019-10-25,3,1.58489319246111e-06,49.0637016228713,5247.4857349755,106.952503814538,0.000353372753316355,0.788487660109574,0.00628499600045709
"29",12839,"624-4-5",542,"L52","Eikeren",9.843788,59.69984,19,2019-10-28,43,"43766",7.6,6.5,26,"13.5",513535.8,11.75,3.727,0.456,0.266,10.1,0.5,7.16,70.94,0.336,"1.5557000000000001",6.5564,1.1384,0.1414,4.3477,"2.625","na",4.33,0.87,7.42,1.15,0.06,0.16,0.0387,0.0248,0.111,0.965,0.0194,0.00215,0.00266,0.0144,8.14e-05,0.00185,11.14,0.1,0.01,0.004,0.079,0.055,0.018105733,0.022,0.011,0.013862944,0.026831232,9.090909091,"2.75","17.934154719999999","682.41817890000004","369.56533059999998","134.0649027","21.091589389999999","17.402334790000001","0","0","0.365507209","73.198903689999995","0","0.103072175","9.3653699999999998E-4",-9.812742236,-70.00015888,"100_lakes",27.5524032749268,17.8749166666667,17.951625,155.83434482532,72.4533329520439,7.04825,3.06783333333333,312.520762877537,2019-10-29,1,3.16227766016838e-07,16.3396864277921,19219.913412705,1176.27186406797,0.00101208017733744,1.30605252390834,0.00295143547088811
"30",12841,"624-2-23",6002,"L68","Skogsvatnet",9.937482,59.82288,213,2019-10-28,43,"43766",4.9,6.9,19.1,"11.7",613565.4,13.12,7.424,0.233,0.182,4.6,1.6,7.21,60.67,0.483,"2.9569000000000001",1.1285,1.551,0.1288,2.432,"0.32200000000000001","na",1.63,0.6,9.71,0.52,0.38,0.08,0.019,0.0213,0.0574,0.282,0.0263,0.000907,0.00374,0.013,0.0014,0.00523,11.7,0.222,0.02,0.005,0.177,0.13,0.015430764,0.054,0.024,0.016218604,0.029903017,9.25,"4.8","20.088393459999999","731.83446000000004","398.96954049999999","187.597892","749.70839799999999","19.428519300000001","0","0","0.81264371899999999","0","289.61525319999998","0","0",-10.45577049,-75.80415741,"100_lakes",1.74963730892626,14.3761666666666,14.8711666666667,8.43748283962649,4.02510517408967,6.13583333333334,2.86483333333333,312.520736962867,2019-10-29,1,1.25892541179417e-07,47.5699326899061,11964.0995753892,251.505497251374,0.000920775509628994,0.951423686033644,0.00323275862068966
"31",12851,"619-3-2",16403,"L34","Vassfjorden",8.421757,60.690809,736,2019-10-21,42,"43752",5.9,6.3,0.4,"4.8600000000000003",544353,7.76,4.39,0.129,0.121,6.5,2.8,7.24,18.23,0.189,"5.3844000000000003",0.6828,0.8677,0.1169,1.7635,"4.1700000000000001E-2","na",0.71,0.31,3.44,0.05,0.01,0.01,0.243,0.0291,0.0547,0.395,0.0103,0.00682,0.00816,0.00443,8.22e-05,0.00205,5.04,0.139,0.013,0.003,0.112,0.083,0.014982913,0.035,0.015,0.016945957,0.03166287,9.266666667,"5","19.083913290000002","750.47190460000002","388.55877400000003","80.294721370000005","30.999763250000001","15.096261200000001","0","0","0.73577132499999998","454.89045170000003","0","7.0439349999999998E-2","5.0174870000000002E-3",-12.42809989,-90.45416475,"100_lakes",3.17854003414376,6.56691666666666,10.0408333333333,19.865755819208,8.5945369487968,7.30216666666666,3.19466666666666,238.869721521069,2019-10-25,4,5.01187233627272e-07,42.3102032503263,4042.67219334658,95.5483992697529,0.000467981069522359,0.884158563603106,0.00341685649202733
"32",12917,"904-12",0,"L51","Snolosvatn",8.456736,58.481354,109,2019-11-03,43,"43767",5.3,5.4,13.2,"0",604724.4,11.09,6.094,0.252,0.185,4.6,1.9,6.15,22.93,0.0611,"na",3.0589,0.3131,0.088,1.7542,"0.61609999999999998","na",1.92,0.14,1.13,0.42,0.31,0.15,0.0321,0.0625,0.0718,0.821,0.0228,0.00414,0.0255,0.0222,0.000522,0.0188,11.7,0.216,0.02,0.001,0.175,0.131,0.014479433,0.057,0.024,0.017299949,0.0354447,9,"24","19.530638280000002","729.15104180000003","394.159356","40.62523719","79.580547210000006","16.030516909999999","0","0","0.74439211100000002","278.55443309999998","0","0","0",-8.52836141,-57.77956478,"100_lakes",1.32479091120185,12.576,22.7812083333333,4.55497222961121,2.21558475867029,3.87941666666666,1.87633333333333,260.465850515464,2019-11-05,2,3.98107170553497e-06,38.4146325327909,8270.10240612772,215.285214535589,0.000626158510284492,0.836963912436967,0.00393829996718083
"33",12923,"901-1-55",9453,"L47","Stavvatn",8.973607,58.712395,164,2019-11-02,43,"43767",4.3,4.6,19.3,"6.6",300594,20.47,11.66,0.355,0.232,10.6,2.5,5.06,23.45,0.0385,"3.1099999999999999E-2",3.1692,0.4116,0.1677,1.6397,"0.42549999999999999","na",1.95,0.54,0.9,0.33,0.03,0.4,0.076,0.0798,0.13,2.19,0.052,0.0103,0.123,0.0615,0.000821,0.0333,12.64,0.607,0.069,0.009,0.495,0.386,0.01243602,0.181,0.081,0.016080958,0.052058319,7.49382716,"9","20.069533509999999","767.44420820000005","403.22405420000001","129.38984300000001","334.21173040000002","21.769598850000001","0","0","0.92039492700000003","201.13317910000001","0","1.5993042999999998E-2","5.8876670000000001E-3",-8.949628943,-60.21990175,"100_lakes",2.96359431424113,9.35558333333335,19.6625416666666,9.12963934550095,4.41955229354962,4.564,2.10441666666667,264.221640625,2019-11-05,3,2.51188643150958e-05,58.6106485721422,12025.982849055,205.184265010352,0.000726068714511698,0.773338255096494,0.00694682675814751
"34",12925,"901-3-8",9042,"L44","Dalsvatnet",9.163271,58.754326,4,2019-11-02,43,"43767",6.8,5.8,28.7,"2.2999999999999998",238201.8,12.66,8.036,0.344,0.24,9.2,0.7,6.23,57.21,0.0886,"na",11.6367,0.5784,0.1719,2.739,"1.0103","na",6.42,0.19,1.91,1.24,0.25,0.14,0.0281,0.062,0.136,0.762,0.0332,0.00359,0.0317,0.0291,0.000224,0.0129,12.09,0.283,0.028,0.003,0.231,0.174,0.014168121,0.077,0.033,0.016945957,0.035216526,8.575757576,"11","18.31253954","695.21622349999996","376.50180390000003","56.495866509999999","118.1569167","16.349616650000002","0.29897840599999997","0","0.29825436399999999","52.172721359999997","0","5.1448203999999997E-2","0",-7.837463883,-54.84048905,"100_lakes",1.41186612490738,10.2940833333333,20.7655416666667,6.53531759663175,2.74605069874027,5.3755,2.15533333333333,260.465850515464,2019-11-05,3,1.58489319246111e-06,39.0476271750895,29600.832570144,758.069944619527,0.00172757859087503,0.836076770406062,0.00410652065704331
"35",12929,"914-1-14",10028,"L53","Valandstjern",8.726687,58.497914,44,2019-11-03,43,"43767",4.7,5.8,11.7,"5.48",802257.6,15.55,11.18,0.365,0.201,9.4,2.4,5.98,39.64,0.125,"3.44E-2",4.8489,0.6313,0.2066,3.0393,"0.46610000000000001","0.16930000000000001",3.18,1,2.36,0.68,0.15,0.27,0.0417,0.0903,0.111,0.821,0.0353,0.00375,0.0561,0.0555,0.00216,0.0439,13.46,0.582,0.07,0.009,0.481,0.378,0.012048654,0.179,0.081,0.015858733,0.052057245,7.185185185,"9","20.312336030000001","784.44056499999999","394.50281189999998","175.54563200000001","314.09304250000002","17.402458419999999","0","0","0.78904803899999998","0","86.963761099999999","0","0",-8.853059394,-59.79647517,"100_lakes",1.32842924458301,9.8119166666667,20.2710416666667,7.38653159010086,3.09181196322593,7.98691666666666,2.713,264.221640625,2019-11-05,2,1.58489319246111e-06,64.8651919819767,12011.3715205506,185.174377097166,0.000837031248200758,0.759748839960923,0.00724508050089445
"36",12931,"914-15",10026,"L49","Stokkebuvatnet",8.969279,58.612051,41,2019-11-03,43,"43767",4.9,5.9,30.6,"2.58",750979.8,10.3,4.991,0.157,0.138,4.2,1.6,6.04,36.02,0.105,"na",6.3498,0.4372,0.1276,2.5398,"0.2059","na",4,0.1,1.21,0.7,0.3,0.18,0.0393,0.0836,0.0659,0.993,0.0292,0.00416,0.0269,0.0254,0.00173,0.0362,12.03,0.287,0.029,0.003,0.232,0.177,0.013529382,0.078,0.034,0.016606966,0.057503506,8.441176471,"11.33333333","19.749714489999999","763.08565480000004","396.9405246","75.341667569999998","814.65524110000001","16.755918319999999","0","0","0.85387634599999995","68.163112260000005","0","0","0",-7.951114233,-55.42130955,"100_lakes",2.49880567903055,10.5472500000001,21.24725,10.3150676154975,4.64860087516803,5.29908333333333,2.2565,264.221640625,2019-11-05,2,1.25892541179417e-06,42.1768795271001,8043.21403296978,190.70197044335,0.000816386224346432,0.814681140432274,0.00681226207172911
"37",12955,"912-2-14",9588,"L43","Midtvatnet",8.746143,58.689426,210,2019-11-02,43,"43767",6.1,5.4,21.5,"3.08",952807.2,15.33,9.204,0.272,0.195,5,2.6,5.94,28.64,0.091,"2.9100000000000001E-2",4.5408,0.4243,0.1829,1.7239,"0.35339999999999999","na",2.78,0.4,1.52,0.35,0.34,0.25,0.0444,0.0762,0.112,1.23,0.0336,0.00477,0.0522,0.0319,0.00126,0.0194,12.94,0.48,0.052,0.006,0.393,0.305,0.012674892,0.14,0.061,0.016615371,0.052151239,7.868852459,"10.16666667","19.311331710000001","768.93481759999997","384.86938370000001","67.281200299999995","207.8660289","16.624658870000001","0","0","0.68113917400000001","294.97564269999998","0","4.6090247000000001E-2","2.165108E-2",-8.912014966,-61.23067574,"100_lakes",7.54551768715545,12.55075,22.857375,23.9207073944645,11.6370603833986,3.90466666666667,1.90158333333334,260.465850515464,2019-11-05,3,3.98107170553497e-06,55.0437432353676,9127.78286570644,165.827800385521,0.000655655664615128,0.762841347328326,0.00662755323772273
"38",12956,"912-2-18",9198,"L45","Ljostadvann",8.907225,58.753368,178,2019-11-02,43,"43767",4.2,5.4,8.6,"2.1800000000000002",878290.2,13.25,8.635,0.245,0.16,6.8,2.7,5.89,23.05,0.0813,"2.7300000000000001E-2",2.5919,0.4109,0.1561,1.8532,"0.45910000000000001","na",1.69,0.35,1.37,0.42,0.33,0.24,0.0452,0.119,0.0733,0.93,0.0373,0.00388,0.0498,0.0278,0.00126,0.039,13.45,0.478,0.054,0.007,0.393,0.306,0.012511225,0.143,0.063,0.016394198,0.055356109,7.587301587,"9","20.643313209999999","750.37167360000001","401.30730269999998","101.2503399","339.81829809999999","20.548891170000001","0","0","0.93803641100000001","382.3320415","0","2.7064730190000001","1.1673073000000001E-2",-8.888586228,-60.59783253,"100_lakes",2.36193255445968,9.736,19.726,6.95167145637319,3.42115857433245,3.702,1.8255,264.221640625,2019-11-05,3,3.98107170553497e-06,62.9373308841895,8246.32821148515,131.024434872511,0.000721914495364203,0.763149560594547,0.00729588882455125
"39",12957,"912-2-30",9304,"L48","R›mmelvann",8.938599,58.738035,176,2019-11-02,43,"43767",0.8,4.4,30.6,"2",369553.8,19.19,10.51,0.258,0.211,5.7,6,5.47,21.91,0.0611,"3.3000000000000002E-2",0.3916,0.162,0.1698,0.4223,"0.1512","na",1.85,0.22,0.9,0.44,0.47,0.29,0.0725,0.131,0.0794,1.53,0.0435,0.00606,0.0802,0.0428,0.00107,0.0462,12.88,0.525,0.061,0.009,0.43,0.335,0.012482734,0.158,0.071,0.015998303,0.049952426,7.394366197,"7.8888888890000004","21.523408870000001","802.59786640000004","434.18980670000002","189.30105660000001","2933.6462649999999","20.51889989","0","0","1.435210428","0","97.386511290000001","2.5231688980000002","0",-9.003643697,-60.30707063,"100_lakes",1.29721797758185,9.9391666666666,20.16975,4.20563500675862,2.05401996749901,4.05708333333333,1.92716666666666,260.465850515464,2019-11-05,3,3.98107170553497e-05,58.087973070499,4516.61948769184,77.7548130696556,0.000299830754332225,0.780253630650701,0.00675547098001903
"40",12964,"929-1-20",9234,"L46","Imetjern",8.495808,58.747538,148,2019-11-03,43,"43767",3.4,5.4,19.1,"na",602198.4,12.92,4.896,0.113,0.095,4.9,1.1,6.05,21.28,0.0804,"2.6599999999999999E-2",2.4681,0.4076,0.1575,1.9006,"0.17710000000000001","na",2.05,0.15,1.02,0.28,0.41,0.12,0.0262,0.0566,0.0386,0.922,0.0174,0.00228,0.0163,0.00849,0.00403,0.0245,11.53,0.426,0.055,0.007,0.353,0.283,0.011051058,0.142,0.064,0.015938879,0.087009804,6.65625,"9.1428571430000005","22.140519189999999","771.37232159999996","406.45503939999998","135.1966233","3965.5195659999999","18.759430930000001","0.43195411900000003","0","0.98008655","119.1365242","0","0","0",-9.162738064,-63.44758605,"100_lakes",2.53163549405795,8.5949166666667,19.1174166666666,11.6396870770552,4.96727314257654,5.83183333333334,2.43408333333333,264.221640625,2019-11-05,2,3.98107170553497e-06,60.1012861017751,11476.5343889314,190.953224686358,0.00169212439142907,0.693339726087387,0.0130718954248366
"41",12999,"402-1-28",4313,"L24","Eintjenn",12.372,60.071,175,2019-10-09,40,"43763",6.2,6.6,11.2,"2.12",552941.4,21.7,13.23,0.468,0.329,8.9,5,6.75,22,0.207,"0.26029999999999998",2.1498,0.9065,0.2015,2.9651,"0.28670000000000001","0.18090000000000001",1.89,0.45,3.51,1.08,0.03,0.12,0.0676,0.0725,0.148,1.91,0.0226,0.00194,0.0253,0.0282,0.0124,0.0197,10.08,0.646,0.081,0.013,0.535,0.423,0.011744728,0.209,0.094,0.015980789,0.04882842,6.872340426,"7.230769231","19.177667960000001","711.18485009999995","384.2551512","127.7175898","3113.9728249999998","16.09782547","0","0","0.66022508400000002","0","73.015771580000006","0","0",-9.620481634,-68.35345095,"100_lakes",3.05658506072925,15.0355833333333,22.31325,18.3719293931433,7.58777342203706,7.40375,2.68766666666667,152.236575828836,2019-10-11,2,2.51188643150958e-07,46.8953636471532,6822.63092165515,145.486256871564,0.000290469882430467,0.734927918765463,0.00710506424792139
"42",13000,"402-3-9",371,"L14","Nordre_Harsjoen",12.385,60.109,228,2019-10-09,40,"43763",8,6.5,10,"5.44",569107.8,16.39,9.006,0.325,0.256,6.3,5.7,6.55,15.79,0.0914,"1.4057999999999999",1.9227,0.4653,0.1125,2.0445,"0.13009999999999999","na",1.5,0.49,1.36,0.53,0.44,0.1,0.0287,0.0169,0.0673,0.785,0.0171,0.00363,0.0225,0.0105,0.0011,0.00241,9.75,0.317,0.031,0.006,0.256,0.189,0.015171521,0.082,0.037,0.015916027,0.035198756,8.567567568,"6.1666666670000003","18.75944338","714.27156950000006","370.73160159999998","34.346349510000003","58.352934840000003","14.89245841","0","0","0.42937787500000002","30.551277890000001","0","0.92057735100000004","4.9920900000000002E-4",-7.845197738,-61.50415182,"100_lakes",1.33626016494249,13.9960833333333,19.0170833333333,10.2604077442492,3.54485648812783,9.60958333333333,3.01733333333333,152.236575531286,2019-10-11,2,3.16227766016838e-07,41.0258831747981,4073.98218299892,99.3027295875872,0.00022290729858307,0.953222874025032,0.00410837219631357
"43",13008,"418-2-3",4041,"L13","Tennungen",11.447,60.356,298,2019-10-09,40,"43745",6.7,4.8,13.8,"8.42",675452.4,30.14,11.71,0.248,0.223,8,3.9,5.51,11.89,2.16,"4.7300000000000002E-2",1.0832,0.3794,0.1725,1.3789,"0.25569999999999998","na",1.06,0.17,1.35,0.3,0.02,0.43,2.89,0.0819,0.105,1.64,0.0344,0.00394,0.0728,0.0583,0.00476,0.0393,15.19,0.825,0.094,0.017,0.673,0.521,0.012799764,0.244,0.11,0.015933757,0.070452605,7.5,"6.4705882350000001","19.961859740000001","709.72923790000004","380.46463670000003","113.00982209999999","444.32484890000001","19.24436124","0","0","0.62732266400000003","0","13.16595077","0.91653288899999996","0",-10.22777685,-72.7609319,"100_lakes",2.34429487023066,14.706,21.5398333333333,12.7891115727592,5.80975863300245,6.84591666666666,3.09333333333334,152.236575228554,2019-10-11,2,1.58489319246111e-05,61.2375763173743,7742.02066908752,126.42598114862,0.000486289163730534,0.80331110861048,0.00939368061485909
"44",13018,"432-4-2",125,"L25","Storsjoen",11.357173,61.395858,252,2019-10-08,40,"43762",8.9,6.6,23.7,"4.22",599672.4,6.657,3.745,0.231,0.139,6.7,3.8,7.41,24.1,0.355,"0.32990000000000003",0.9969,0.8133,0.1024,3.216,"0.4501","na",0.95,0.82,5.88,0.87,0.03,0.02,0.0339,0.0491,0.174,0.96,0.00876,0.000691,0.00437,0.005,7.37e-05,0.00151,8.86,0.119,0.013,0.003,0.099,0.074,0.014552738,0.032,0.015,0.015153714,0.031775701,7.933333333,"5","19.313145980000002","747.24939089999998","395.18010390000001","138.68650640000001","18.610542819999999","14.16905665","0","0","0.59013574099999999","89.103578830000004","0","0","8.3636289999999992E-3",-12.61041113,-90.85826968,"100_lakes",3.99309704794892,10.50025,16.6645833333333,25.0764290229793,11.419701976902,8.95216666666668,4.10833333333333,239.867991737456,2019-10-09,1,2.51188643150958e-07,31.4197686892531,2541.14977936891,80.8774184336403,0.000256071114817413,0.960341339423458,0.00400534045393858
"45",13037,"412-5-1",118,"L28","Mjosa",10.678805,60.821181,123,2019-10-07,40,"43761",9.4,6.7,12.9,"3.82",618491.1,5.271,3.985,0.426,0.345,3.9,3.3,7.4,21.2,0.262,"7.3200000000000001E-2",1.3239,0.8649,0.1006,3.7269,"1.4948999999999999","na",0.97,0.39,4.76,0.66,0.11,0.02,0.0222,0.0377,0.0621,0.365,0.00749,0.000416,0.00285,0.00591,4.75e-05,0.00153,7.77,0.08,0.009,0.002,0.065,0.048,0.015159313,0.021,0.01,0.014838747,0.020075282,8,"5","19.212154259999998","771.37674630000004","410.0360761","75.587484349999997","22.884679299999998","14.839696719999999","0","0","0.50753557299999996","154.29410010000001","0","0","2.0759397999999998E-2",-13.06821596,-94.21661846,"100_lakes",2.88808329621364,11.6669166666666,18.7188333333333,17.5464712896486,7.58701215536323,6.61916666666666,2.89125,239.867991767831,2019-10-09,2,1.99526231496888e-07,13.4702356173508,3113.69754492725,231.153903567697,0.000126416120324046,1.02160330653255,0.00250941028858218
"46",13039,"412-3-4",257,"L27","Sjusjoen",10.712661,61.143073,810,2019-10-07,40,"43761",4.3,6.7,11.8,"4.8",668127,10.85,6.634,0.466,0.203,16.7,15,6.91,9.68,0.115,"na",0.6843,0.3009,0.0921,1.7541,"0.21690000000000001","na",0.61,0.2,2.02,0.26,0.03,0.02,0.0232,0.0319,0.0356,0.68,0.0127,0.00063,0.0067,0.00412,0.000535,0.00208,4.9,0.29,0.036,0.007,0.24,0.188,0.012209848,0.089,0.041,0.015501286,0.0437142,7.073170732,"5.8571428570000004","21.496584479999999","876.96265749999998","456.79938859999999","28.640847269999998","68.064364220000002","18.065017180000002","0","0","1.1358251880000001","70.905936260000004","0","0","3.2741549999999999E-3",-11.48124071,-83.09603841,"100_lakes",4.17843265273721,10.2211666666666,16.842125,24.5010809362561,9.96527948037141,7.53225,2.891,239.867991727069,2019-10-09,2,1.99526231496888e-07,38.1105653151278,1140.37121527489,29.9227053140097,7.86856138539672e-05,0.787666778098282,0.00618028338860416
