"","Lake_ID","NIVA_station_ID","NVE_number","DNAsampleID","Lake_name","Long","Lat","Altitude","CBA_date","CBA_week","NIVA_date","T","pH_bio","EC_bio","DNA","Cells","TOC","DOC","TN","DN","TOTP","DP","pH","EC","Alkalinity","F","Cl","NO2","B","SO4","NO3","PO4","Na","K","Ca","Mg","Fe","Al","Cr","Ni","Cu","Zn","As","Cd","Pb","V","Mn","Co","Hg_total","a254","a410","a600","a275","a295","s_275_295","a350","a400","s_350_400","SUVA","SARuv","SARvis","Ar","N2","O2","CO2","CH4","N2O","p_N2","p_O2","c_O2","p_CO2","c_CO2","p_CH4","p_N2O","d18O","d2H","Survey","RR","tmax","tmax_h","auc","OD","width","BdgT","ox_initial","incub_date","lag_bdg","H","CN","CP","NP","CNP","SR","sVISa"
"11",12282,"544-2-11",32999,"L33","Nordre_Vindin",9.017013,61.194979,725,2019-10-02,39,"43752",9.3,6.7,9.9,"3.66",616344,8.59,4.795,0.193,0.1479,8.9,3.4,7.01,11.78,0.159,"na",0.4224,0.6627,0.0857,1.3593,"5.0599999999999999E-2","na",0.74,0.21,1.94,0.76,0.03,0,0.0334,0.0179,0.0441,0.366,0.013,0.000385,0.00505,0.00417,0.00805,0.00261,8.47,0.136,0.013,0.002,0.108,0.077,0.01691629,0.032,0.015,0.015153714,0.028362878,9.066666667,"7.5","18.88123336","659.76240429999996","358.18108619999998","66.832093450000002","311.2478026","14.925610649999999","1.4248688709999999","0","3.9766569999999998E-3","39.00421206","0","0","0",-11.28062185,-87.04456434,"100_lakes",0.996721073027019,8.3920833333333,14.7690833333333,5.01508878521416,2.25037298433401,6.36374999999999,2.81416666666667,189.234761606626,2019-10-05,3,1.99526231496888e-07,37.8082346084716,3636.40070131791,96.1801242236025,0.000344388537007167,1.11631313617243,0.00312825860271116
"12",12700,"220-2-9",5509,"L58","Bondivatnet",10.4319554,59.8253818,99,2019-11-05,44,"43766",3.2,7.5,151,"11.4",238454.4,9.897,5.955,0.722,0.532,13.3,7,7.72,210,1.59,"na",9.2927,3.5393,0.282,10.8622,"3.0952000000000002","na",6.58,1.08,34.71,2.3,0.05,0.11,0.0492,0.0798,0.103,0.382,0.0918,0.000387,0.00456,0.0259,0.00302,0.00878,12.14,0.198,0.022,0.005,0.16,0.122,0.013557639,0.054,0.025,0.015402164,0.03324937,7.92,"5","19.748944009999999","745.57108219999998","403.43100320000002","151.58971940000001","995.02544260000002","20.97755793","0","0","1.0294145159999999","190.22840059999999","0","0","0",-10.56318361,-73.88504431,"100_lakes",1.2202277838723,18.255,25.8873333333333,13.0279097264019,8.21441143547669,16.1253333333334,7.226,213.56213963964,2019-11-07,2,3.16227766016838e-08,13.0537741719214,2193.54103976117,168.038837723995,5.77536265863435e-05,0.880242477615483,0.00419815281276238
"13",12702,"221-1-6",3268,"L3","Lombergtjern",11.6200416,59.7409199,193,2019-11-08,44,"43763",1.1,5.6,14.8,"3.2",748959,14.57,8.179,0.185,0.145,6.3,1.3,5.81,37.4,0.0871,"3.2000000000000001E-2",3.6587,0.3156,0.1737,2.434,"0.28939999999999999","na",2.43,0.72,1.98,0.77,0.39,0.43,0.0794,0.105,0.113,0.784,0.0286,0.00366,0.0389,0.0324,0.00289,0.0433,14.98,0.768,0.072,0.009,0.624,0.476,0.013536626,0.209,0.086,0.017759739,0.09389901,8.930232558,"9.5555555559999998","22.376819210000001","834.17277979999994","443.23104180000001","70.438330899999997","300.43763660000002","18.980209169999998","0","0","1.2183023820000001","415.81226509999999","0","1.727569994","0",-8.761567036,-63.48396597,"100_lakes",3.37792527533274,10.4716666666666,19.0293333333333,16.332930379943,6.60922848907667,6.79516666666667,2.40883333333334,267.66220703066,2019-11-08,0,2.51188643150958e-06,65.7806510698527,16222.5415164305,246.615703137442,0.00156709751048718,0.762208611286461,0.0105147328524269
"14",12710,"227-2-1",3107,"L19","Heia",11.216213,59.929028,183,2019-11-06,44,"43762",1,6.2,25.6,"5.24",251084.4,17.48,11.78,0.423,0.315,42.1,5.2,6.44,38,0.136,"3.9199999999999999E-2",4.0169,0.56,0.1915,2.3678,"0.43209999999999998","na",2.89,0.57,2.67,0.57,0,0.33,0.0696,0.0886,0.205,0.808,0.0314,0.00711,0.0568,0.0381,0.00216,0.0231,13.16,0.583,0.052,-0.002,0.473,0.362,0.013372559,0.16,0.063,0.018640782,0.049490662,9.253968254,"-31.5","21.945496349999999","797.76619949999997","435.6242191","102.2031664","102.8772699","22.677907619999999","0","0","0.79274549000000005","0","11.74458529","0","3.2235737E-2",-9.279056834,-66.99125469,"100_lakes",1.22149058088324,6.99816666666667,14.3386666666667,8.24871222303399,3.54871656087065,6.16133333333333,3.57508333333333,259.099790619145,2019-11-08,2,6.30957344480193e-07,43.6114672661172,5841.22567133973,133.937838772921,0.00025973983485224,0.717381867348698,0.00534804753820034
"15",12716,"239-4-3",141,"L8","Hurdalsjoen",11.065895,60.412575,176,2019-11-06,44,"43775",2.9,6.4,26.1,"3.02",247042.8,11.83,5.332,0.422,0.377,7.2,1.1,7,39,0.159,"1.2581",1.9953,0.5103,0.083,3.0392,"1.3715999999999999","na",1.69,0.67,2.89,0.45,0.03,0.06,0.0302,0.0257,0.109,0.712,0.0138,0.00161,0.00402,0.00759,0.000376,0.00178,13.24,0.14,-0.001,-0.009,0.108,0.075,0.018232156,0.024,0.001,0.063561077,0.026256564,140,"-0.111111111","21.90414346","761.93152329999998","417.09142600000001","62.429161280000002","56.105853199999999","23.212043739999999","0","0","0.211678598","82.601502409999995","0","0","0",-10.84727278,-77.81863909,"100_lakes",0.837930903668763,19.929,24.8862916666667,1.48552908660204,1.48552908660204,2.02833333333333,2.02833333333333,311.77420068918,2019-11-08,2,3.98107170553497e-07,16.4935731989266,12498.5460297757,757.782796913232,0.000464369056337052,0.286844667531357,0.00018754688672168
"16",12717,"239-1-186",4725,"L20","Buraastjern",11.031622,60.42876,208,2019-11-06,44,"43773",2.3,6.4,22.7,"3.2",201069.6,12.38,6.949,0.374,0.354,6.3,3,6.74,31.4,0.151,"na",1.2697,0.5032,0.0908,2.4596,"1.1183000000000001","na",1.26,0.46,2.6,0.49,0.14,0.1,0.0305,0.0514,0.062,0.923,0.0159,0.00284,0.00597,0.0122,0.00474,0.00904,13.08,0.253,0.012,-0.007,0.199,0.149,0.014467926,0.058,0.017,0.024544593,0.036408116,14.88235294,"-2.4285714289999998","22.613805240000001","790.46501899999998","419.01858170000003","100.2965421","697.95816420000006","30.226482130000001","0.17129003700000001","0","0.80229488500000001","46.218990259999998","0","0","0",-11.00608751,-77.15355106,"100_lakes",1.11868812339159,13.8945833333334,21.8943333333333,4.6718728507341,2.71686668352658,5.57816666666667,3.04258333333333,259.099804891314,2019-11-08,2,3.98107170553497e-07,22.8920671587768,5972.59539866234,260.902405939887,0.000236322439969106,0.589454712082616,0.00244639516477191
"17",12719,"239-2-10",3943,"L11","Holtjernet",11.096149,60.4716176,444,2019-11-06,44,"43762",2,6.4,27.5,"5.92",298573.2,13.07,6.159,0.358,0.305,10,10.2,6.7,35.1,0.187,"0.57479999999999998",1.1666,0.6576,0.1177,3.9155,"0.51270000000000004","na",1.19,0.42,3.65,0.55,0.07,0.02,0.0237,0.0294,0.101,0.836,0.0157,0.00103,0.00464,0.00624,0.0117,0.00393,11.18,0.203,0.011,-0.005,0.16,0.117,0.015649994,0.045,0.015,0.021972246,0.032959896,13.53333333,"-3","21.404136210000001","798.33780939999997","422.32327420000001","128.8711399","69.988002179999995","20.468300159999998","0","0","1.116571878","0","30.719578420000001","0","0",-10.11291564,-74.55204366,"100_lakes",1.73402671513894,1.8765,9.977625,9.28779479478851,9.28779479478851,7.86008333333333,7.86008333333333,259.09977628735,2019-11-08,2,3.98107170553497e-07,23.5492091266066,1556.94069651839,66.1143517876916,7.15018633971576e-05,0.712261914416942,0.00243546030199708
"18",12725,"217-3-1",297,"L7","Gjersjoen",10.7763916,59.7592617,40,2019-11-07,44,"43763",5.2,7.5,111.8,"3.64",662822.4,16.39,6.699,1.071,0.837,18.3,8.1,7.37,243,0.786,"1.7293000000000001",30.8314,2.5347,0.582,22.3638,"6.5068000000000001","0.1079",17.62,3.17,26.66,3.54,0.22,0.04,0.0366,0.145,0.258,0.294,0.0445,0.00149,0.0171,0.0464,0.00125,0.00878,11.73,0.305,0.029,0.006,0.245,0.183,0.014588603,0.077,0.034,0.016348898,0.045529183,8.970588235,"5.6666666670000003","18.97440654","717.99584249999998","388.0531656","52.2409739","61.226145600000002","17.114653709999999","0","0","0.67480688799999999","270.74448489999997","0","0.190936142","3.209824E-3",-9.301863885,-66.96266176,"100_lakes",1.33835432177868,5.29925000000003,17.393875,15.4792976201513,2.66245281229981,15.3145,2.45925,267.66220703303,2019-11-08,1,3.16227766016838e-08,9.33362786621224,2132.48997061336,228.473858308941,3.56867228415547e-05,0.892329440186121,0.00507538438572921
"19",12727,"231-2-5",3067,"L18","Tretjernet",11.133167,59.987185,192,2019-11-06,44,"43762",0.5,6.5,35.9,"4.4218000000000002",220519.8,21.95,9.208,0.747,0.415,28.9,4.4,7.55,81.1,0.4,"1.2243999999999999",2.4223,0.8553,0.149,3.1522,"0.32390000000000002","na",1.75,0.89,7.57,0.77,0.12,0.09,0.0278,0.0372,0.18,0.934,0.0223,0.000766,0.0158,0.0108,0.00179,0.00612,12.97,0.303,0.015,-0.006,0.241,0.173,0.016575267,0.066,0.021,0.022902646,0.032906169,14.42857143,"-3.5","22.5760057","813.05502860000001","443.94806360000001","192.4748894","117.5841959","18.922206559999999","0","0","1.442026649","0","71.112163780000003","0","0",-8.321324269,-63.35769476,"100_lakes",1.99218421486913,1.87633333333332,10.002875,5.04057994406191,5.04057994406191,3.37216666666666,3.37216666666666,259.099747303325,2019-11-08,2,3.16227766016838e-07,25.8751678431317,5396.0339385866,208.541021696944,0.000182125897295861,0.723727162354952,0.00228062554300608
"20",12729,"235-1-3",4141,"L4","Sesvolltjernet",11.164995,60.24918,195,2019-11-06,44,"43773",3,6.7,81.3,"3",718647,24.94,11.65,0.858,0.758,12.8,4.7,7.06,222,0.815,"7.9399999999999998E-2",9.2378,2.0733,0.8013,46.0277,"5.1406000000000001","na",6.34,2.18,32.1,4.12,0.05,0.13,0.0899,0.295,0.134,1.34,0.0465,0.00349,0.0329,0.0357,0.0209,0.112,12.34,0.921,0.14,0.02,0.773,0.631,0.010148659,0.334,0.162,0.014470893,0.079055794,5.685185185,"8.1","20.595994139999998","764.3764473","407.31251980000002","483.76413300000002","1587.1213290000001","337.2938011","0","0","1.061918063","0","19.80470248","0","0",-11.09940263,-77.07034702,"100_lakes",1.16497437955438,6.74458333333337,17.7615,10.7156022967813,3.48504387572773,12.52525,3.60025,259.099761841318,2019-11-08,2,1.99526231496888e-07,17.9234942727302,6391.31328197379,356.588575013405,0.000118104386729033,0.70131532311102,0.0139055793991416
