Who,Survey,Sampling_date,Start_date,Sample_ID,sensor_plate_number,SDR_number,Sample_line,Comments
Camille,1000_lakes,191001,191002,11593,1428,124,2,vials not completely dry when filled
Camille,1000_lakes,191001,191002,11608,1428,124,3,vials not completely dry when filled
Camille,1000_lakes,191001,191002,11445,1428,124,4,vials not completely dry when filled
Camille,1000_lakes,191001,191002,11389,1428,124,5,vials not completely dry when filled
Camille,1000_lakes,191001,191002,11565,1428,124,6,vials not completely dry when filled
Camille,1000_lakes,191001,191003,11613,1551,124,2,
Camille,1000_lakes,191003,191003,11831,1551,124,3,
Camille,1000_lakes,191003,191003,12650,1551,124,4,
Camille,1000_lakes,191003,191003,12579,1551,124,5,
Camille,1000_lakes,191003,191003,11775,1551,124,6,
Camille,1000_lakes,191003,191003,12587,1920A,510,2,
Camille,1000_lakes,191003,191003,12613,1920A,510,3,
Camille,1000_lakes,191003,191003,12619,1920A,510,4,
Camille,1000_lakes,191003,191003,11976,1920A,510,5,
Camille,1000_lakes,191003,191003,12172,1920A,510,6,
Camille,1000_lakes,191003,191003,12251,1920B,512,2,
Camille,1000_lakes,191003,191003,12016,1920B,512,3,
Camille,1000_lakes,191003,191003,11978,1920B,512,4,
Camille,1000_lakes,191003,191003,12641,1920B,512,5,
Camille,1000_lakes,191003,191003,12646,1920B,512,6,
Camille,1000_lakes,191003,/,11840,/,/,/,Bottle was empty (badly closed)
Camille,1000_lakes,191003,191005,12614,black,510,3,
Camille,1000_lakes,191003,191005,11856,black,510,4,
Camille,1000_lakes,191003,191005,11748,black,510,5,
Camille,1000_lakes,191003,191005,11871,black,510,6,
Camille,1000_lakes,191003,191005,11892,1428,512,2,
Camille,1000_lakes,191003,191005,12017,1428,512,3,
Camille,1000_lakes,191003,191005,11888,1428,512,4,
Camille,1000_lakes,191003,191005,12335,1428,512,5,
Camille,1000_lakes,191003,191005,11981,1428,512,6,
Eline,1000_lakes,191003,191009,12616,1920A,124,5,nutrients 2uM
Eline,1000_lakes,191003,191009,11743,1920A,124,6,nutrients 2uM
Eline,1000_lakes,191003,191009,12249,1920B,512,2,nutrients 2uM
Eline,1000_lakes,191003,191009,12640,1920B,512,3,nutrients 2uM
Eline,1000_lakes,191003,191009,12079,1920B,512,4,nutrients 2uM
Eline,1000_lakes,191003,191009,11756,1920B,512,5,nutrients 2uM
Eline,1000_lakes,191003,191009,11757,1920B,512,6,nutrients 2uM
Eline,1000_lakes,191003,191011,11859,black,510,6,nutrients 2uM
Eline,1000_lakes,191003,191011,11828,1428,124,2,nutrients 2uM
Eline,1000_lakes,191003,191011,11824,1428,124,3,nutrients 2uM
Eline,1000_lakes,191003,191011,11827,1428,124,4,nutrients 2uM
Eline,1000_lakes,191003,191011,12664,1428,124,5,nutrients 2uM
Eline,1000_lakes,191003,191011,11752,1428,124,6,nutrients 2uM
Eline,1000_lakes,191003,191011,12617,red,512,2,nutrients 2uM
Eline,1000_lakes,191003,191011,11870,red,512,3,nutrients 2uM
Eline,1000_lakes,191003,191011,11776,red,512,4,nutrients 2uM
Eline,1000_lakes,191003,191011,11559,red,512,5,nutrients 2uM
Eline,1000_lakes,191003,191011,12307,red,512,6,nutrients 2uM
Eline,1000_lakes,191009,191013,11852,1920A,510,2,nutrients 2uM
Eline,1000_lakes,191009,191013,12582,1920A,510,3,nutrients 2uM
Eline,1000_lakes,191009,191013,12157,1920A,510,4,nutrients 2uM
Eline,1000_lakes,191009,191013,12662,1920A,510,5,nutrients 2uM
Eline,1000_lakes,191009,191013,12666,1920A,510,6,nutrients 2uM
Eline,1000_lakes,191009,191013,12158,1920B,512,2,nutrients 2uM
Eline,1000_lakes,191009,191013,11819,1920B,512,3,nutrients 2uM
Eline,1000_lakes,191009,191013,12156,1920B,512,4,nutrients 2uM
Eline,1000_lakes,191009,191013,12205,1920B,512,5,nutrients 2uM
Eline,1000_lakes,191009,191013,12561,1920B,512,6,nutrients 2uM
Eline,1000_lakes,191009,191013,12173,1551,124,2,nutrients 2uM
